Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
B,A,D,C,B,C,A,B,B,C,D,A,C,B,D,B,B,B,D,A
C,C,B,C,B,C,B,B,B,C,A,C,C,B,B,D,B,B,B,B
B,B,B,C,B,C,B,A,A,C,B,A,C,B,B,A,C,B,B,B
B,A,B,B,D,C,A,B,C,B,A,B,D,B,D,B,A,B,B,B
A,A,C,C,C,C,B,B,B,B,C,C,C,B,B,B,B,B,A,A
B,A,A,B,C,D,A,B,A,C,B,C,C,B,B,B,C,B,B,B
B,B,B,C,B,C,B,B,B,C,A,C,C,C,D,B,B,A,B,B
B,A,B,C,D,C,B,B,B,C,B,A,C,B,B,B,D,B,B,B
A,A,B,C,B,D,B,A,B,C,A,C,C,A,B,B,B,B,D,B
B,A,A,D,B,C,B,B,A,C,B,C,C,B,B,B,B,C,B,C
B,B,B,C,C,D,B,B,A,D,A,C,C,D,B,B,C,D,C,C
A,A,B,C,B,C,C,B,B,C,B,C,A,B,D,B,D,A,D,A
B,A,B,C,B,C,C,B,D,D,B,C,B,A,B,B,B,B,B,B
B,C,C,A,B,D,A,D,B,B,A,C,C,A,D,B,A,B,B,B
B,C,B,C,A,A,D,B,B,C,B,C,C,B,A,B,B,B,C,A
B,A,B,C,B,C,B,D,C,C,B,C,C,B,D,B,C,A,B,B
