Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
A,A,A,C,D,A,B,B,D,D,A,C,D,B,C,D,D,B,C,A
D,D,C,C,B,A,B,D,B,D,D,D,A,A,C,D,D,D,A,D
D,A,A,D,A,B,A,A,B,D,D,C,C,C,A,D,B,D,A,A
D,A,C,C,D,C,D,B,C,D,D,C,C,C,B,B,A,A,A,B
B,D,C,D,D,A,A,D,A,D,A,C,D,B,B,D,D,B,C,B
C,C,B,D,B,C,A,B,D,C,D,C,D,A,C,A,A,B,D,B
D,A,C,A,A,A,C,A,B,A,C,A,C,B,C,A,A,B,B,C
C,D,A,B,B,A,C,D,A,C,B,C,D,B,B,C,D,B,D,A
C,C,B,A,B,C,A,C,D,A,A,B,A,B,B,B,B,B,D,D
A,B,D,C,B,A,C,A,C,C,A,A,D,A,C,C,B,B,D,B
B,B,D,C,A,B,B,A,C,D,C,D,A,B,C,B,A,C,B,C
B,A,C,A,C,C,A,A,A,A,B,A,C,D,B,D,B,B,B,B
B,B,B,D,D,A,D,D,A,B,B,D,D,B,C,C,B,C,A,B
B,A,B,A,D,B,A,B,D,D,C,D,B,D,B,A,C,B,A,D
C,D,A,D,A,A,C,B,D,A,D,A,C,D,C,D,A,D,B,D
D,C,C,D,A,B,A,B,A,C,A,A,A,B,B,A,B,A,C,B
B,C,B,B,D,D,B,C,B,D,C,C,A,D,D,C,C,D,C,B
B,C,C,C,B,B,B,C,B,A,C,A,A,B,C,C,B,B,A,C
