Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
B,C,B,B,A,B,B,B,B,C,B,C,C,B,B,B,B,D,B,C
C,D,B,C,C,C,C,B,B,B,B,C,C,B,D,B,C,B,B,C
A,D,B,D,A,A,B,B,C,D,B,C,C,B,B,B,C,B,B,D
B,B,B,C,A,A,B,B,D,B,B,C,C,D,B,B,D,B,B,B
B,A,B,C,B,C,B,C,B,C,C,C,A,A,B,B,D,B,D,B
B,A,B,A,D,B,B,B,A,A,B,C,C,B,A,B,B,A,D,B
B,A,B,D,D,C,B,C,B,C,B,C,C,B,B,B,B,B,B,B
A,A,A,C,B,B,B,C,C,C,B,C,C,B,B,B,D,D,A,A
B,A,D,C,B,C,B,C,A,B,B,C,C,B,B,D,B,B,D,C
B,A,B,A,B,B,B,B,C,C,B,A,C,B,B,B,B,B,A,D
B,A,B,C,A,B,B,B,B,B,B,C,A,B,B,B,A,A,D,A
B,D,B,C,B,A,B,C,B,D,D,C,C,B,B,B,B,C,B,B
D,C,C,C,B,B,B,D,B,C,B,C,C,B,B,C,B,D,B,C
