Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
B,D,D,D,B,A,A,B,B,B,B,A,D,D,B,A,B,D,B,C
B,B,B,A,A,A,D,C,D,B,D,C,D,B,D,B,A,C,B,C
B,B,B,A,D,A,B,D,D,B,A,C,B,B,A,D,A,C,A,B
B,D,A,C,B,A,C,D,C,D,B,C,D,C,B,B,A,B,B,A
A,B,C,B,A,A,A,B,D,A,D,D,B,B,C,C,D,B,A,B
D,A,A,A,C,B,C,C,B,D,B,A,A,B,C,B,C,D,A,C
A,A,D,C,B,D,A,D,B,D,B,C,C,A,C,A,D,D,D,B
B,D,C,A,B,D,D,A,B,B,D,B,C,D,B,B,C,B,C,B
D,B,C,C,D,C,B,D,B,C,B,B,C,D,C,A,B,C,B,C
B,A,D,A,D,D,B,B,B,C,B,B,A,B,D,C,C,C,B,D
C,B,B,C,C,D,A,C,B,C,C,C,A,A,A,C,A,C,D,B
C,D,A,D,D,B,A,A,D,C,B,B,A,C,A,C,D,C,C,B
B,D,B,C,B,C,C,D,D,C,B,C,C,A,D,B,D,C,A,C
A,B,B,B,A,C,D,B,A,A,C,B,B,B,B,C,D,A,B,B
D,C,A,C,B,C,D,B,A,C,A,B,D,D,C,B,D,C,C,D
